NAME	RA	DELTA	VELOCITY	VELOCITY_ERROR	MU_A_COS(DELTA)	MU_A_COS(DELTA)_ERROR	MU_DELTA	MU_DELTA_ERROR	THETA	MU	DISTANCE	DISTANCE_ERROR
13834	44.521166666666666	20.668805555555558	28.1	1.2	234.79	0.84	-31.64	0.7	52.57330140110175	236.9122911543426	32.697213115317005	1.401100568295053
14838	47.906958333333336	19.726694444444444	24.7	0.5	154.61	1.09	-8.39	1.18	49.28602404708215	154.83747672963418	39.107610614413005	0.8381785113976163
18170	58.2915	17.327166666666667	35.0	2.5	143.97	1.06	-29.93	0.84	39.16433036514141	147.04817509918306	40.9020048222674	2.93618361457066
18735	60.202875	18.194055555555554	31.7	1.1	129.49	0.83	-28.27	0.69	37.59716778285854	132.54000528142438	38.854267136834224	1.369730956507516
19554	62.83416666666667	5.523027777777778	36.6	1.2	146.86	1.0	5.0	0.85	33.59733286808986	146.94509042496114	34.90859644987825	1.168930691096318
20205	64.94804166666667	15.627694444444446	39.28	0.11	115.29	1.21	-23.86	0.98	32.56204379434104	117.73310367097268	44.94890902880092	0.4756444808170864
20261	65.151	15.095500000000001	36.2	1.2	108.79	0.95	-20.67	0.82	32.245657434729075	110.73623164980829	43.507543790591804	1.4893389480411603
20400	65.514375	14.07725	37.8	2.3	114.04	0.94	-21.4	0.8	31.678814240872647	116.03052012294008	42.412913068256664	2.6032408311792996
20455	65.73345833333333	17.542583333333337	39.65	0.08	107.75	1.11	-28.84	0.87	32.35860486247454	111.54285320001456	47.51629744857027	0.47645995706653316
20542	66.02370833333333	17.444222222222223	39.2	1.2	109.99	1.13	-33.47	0.87	32.06500463539908	114.96973949696502	45.06187039141562	1.446463747089237
20635	66.34208333333333	22.293972222222223	38.6	1.2	105.49	0.81	-44.14	0.66	33.54580216833866	114.3524363535819	47.21723002046411	1.503652344462572
20711	66.576625	22.813694444444444	35.6	0.6	108.66	0.94	-45.83	0.82	33.572569114687404	117.92957432298311	42.26942382824494	0.7854565647363415
20713	66.586125	15.618333333333334	40.8	4.26	114.66	0.8	-33.3	0.58	31.03304691382793	119.39767836938873	43.373743222239035	4.5377008265010526
20842	67.003	21.62	37.5	3.3	98.82	0.92	-40.59	0.8	32.70706781152692	106.83136477645505	47.55534036219393	4.204158571516936
20885	67.14345833333333	15.962222222222222	40.17	0.08	104.76	1.07	-15.01	0.67	30.60904757782889	105.82985259367983	47.37529356118704	0.4853129691083703
20889	67.153875	19.18052777777778	39.37	0.06	107.23	1.02	-36.77	0.8	31.628231361701783	113.35918930549919	45.12621729544459	0.403639562479633
20894	67.16529166666666	15.870944444444445	38.9	0.2	108.66	1.03	-26.39	0.66	30.563679413135116	111.81872696467259	43.341932902733035	0.4514579198169558
20901	67.20875	13.047638888888889	39.9	4.1	105.17	0.84	-15.08	0.63	29.85778486753339	106.2456366162865	45.48097529589755	4.687174980081418
21029	67.639875	16.194083333333335	41.0	1.8	104.98	0.71	-25.14	0.53	30.21727065005961	107.94822833191844	46.66856162612917	2.0711827289921256
21036	67.65541666666667	13.724444444444444	38.8	1.2	108.06	0.87	-19.71	0.67	29.57311271005061	109.84283180981816	42.287867286550224	1.3495342552943046
21039	67.66179166666667	15.691944444444445	39.56	0.23	104.17	1.12	-24.29	0.78	30.055075003541024	106.96444736453323	45.14830119710423	0.5352072949759106
21137	67.965375	15.851638888888889	36.0	2.5	107.59	0.81	-32.38	0.65	29.819329979781838	112.35689787458536	38.74319014775086	2.7045316981389593
21152	68.01975	5.4100277777777785	39.8	1.0	114.15	1.12	6.17	0.9	28.443336381763675	114.31662783689869	39.78641571816683	1.0728960048589757
21459	69.121125	23.34097222222222	43.3	1.2	109.97	0.98	-53.86	0.76	31.73981914710034	122.45121681714723	46.14636094537459	1.3271848345950392
21589	69.53916666666667	12.510861111111112	44.7	5.0	101.73	0.96	-14.9	0.76	27.523774122282788	102.81538260396643	47.795566368239356	5.364708454606184
21683	69.81854166666666	15.918027777777777	35.6	2.5	82.4	1.1	-19.53	0.87	28.137194767945214	84.68282529533366	47.430246740979385	3.386161379374163
22044	71.107375	11.146166666666666	39.6	0.5	98.87	1.19	-13.47	0.86	25.760828731503143	99.78335432325373	40.403986890677466	0.7002955673343974
22157	71.50708333333333	11.70561111111111	43.0	1.0	67.48	1.11	-7.09	0.79	25.4780848862336	67.85144434719132	63.70880947193346	1.809842219762312
22176	71.56991666666667	18.734861111111112	44.11	0.1	73.03	1.17	-69.79	0.97	27.607578942641553	101.01497413750103	48.17679995950167	0.5261458897244382
22203	71.626375	15.472111111111111	42.42	0.71	91.37	1.48	-24.72	1.07	26.34512266634055	94.65492749984018	46.82086590534784	1.0642432965291535
22565	72.843375	18.839944444444445	36.8	1.2	79.66	0.93	-32.76	0.75	26.564923784551784	86.13322936010236	45.06779777633959	1.5441958173762427
22850	73.743	19.485444444444447	38.4	2.0	63.32	0.92	-28.41	0.65	26.108449226777942	69.40137246481514	57.20709152652247	3.0666699097650154
23497	75.77375	21.590055555555555	38.0	1.7	68.94	0.75	-40.85	0.52	25.601241439856487	80.1339260238758	47.93547440924264	2.1847016450005428
23983	77.33166666666666	9.829611111111111	44.16	0.14	63.54	0.87	-7.87	0.56	19.50433483049131	64.02553006418611	51.54074093098507	0.7161372256142009
24019	77.43775	28.03061111111111	44.9	0.52	55.86	1.33	-60.57	0.77	28.716092889998734	82.39577962492982	62.98309612846126	1.0928464059318148
