PARALLAX	PARALLAX_ERROR	NAME	DISTANCE	DISTANCE_ERROR
31.41	0.84	13834	31.83699458771092	0.8514191484774649
19.44	1.23	14838	51.440329218106996	3.2547121881826953
24.14	0.9	18170	41.42502071251035	1.5444291069287206
21.99	0.81	18735	45.47521600727604	1.675076169435816
25.89	0.95	19554	38.62495171881035	1.4172925505164091
21.17	1.17	20205	47.23665564478035	2.610622914709164
21.2	0.99	20261	47.16981132075472	2.202741189035244
21.87	0.96	20400	45.72473708276177	2.0071215180361817
21.29	0.93	20455	46.97040864255519	2.05178393788522
22.36	0.88	20542	44.72271914132379	1.760107014506482
21.27	0.8	20635	47.01457451810061	1.7682961736944283
21.07	0.8	20711	47.460844803037496	1.8020254315344089
20.86	0.84	20713	47.93863854266539	1.9304149748724317
20.85	0.86	20842	47.961630695443645	1.9782734963108648
20.66	0.85	20885	48.402710551790896	1.9913990304463822
21.04	0.82	20889	47.528517110266165	1.852347149734708
21.89	0.83	20894	45.682960255824575	1.7321542719202556
20.33	0.84	20901	49.18839153959666	2.032378204292238
22.54	0.77	21029	44.36557231588288	1.5155940853251915
21.84	0.89	21036	45.78754578754579	1.8658844208294758
22.55	1.09	21039	44.34589800443459	2.14354895010349
22.25	1.14	21137	44.943820224719104	2.3027395530867314
23.13	0.92	21152	43.2338953739732	1.719636132471048
22.6	0.76	21459	44.24778761061947	1.4879786984102121
21.79	0.79	21589	45.892611289582376	1.663844099071596
20.51	0.82	21683	48.75670404680643	1.949317275396454
20.73	0.88	22044	48.239266763145196	2.0477836349043788
12.24	0.86	22157	81.69934640522875	5.740313554615746
10.81	0.94	22176	92.50693802035153	8.044081566987089
19.42	1.09	22203	51.49330587023687	2.89020099889589
17.27	0.82	22565	57.903879559930516	2.74934459983457
14.67	0.95	22850	68.1663258350375	4.414315578956075
20.01	0.91	23497	49.97501249375312	2.2727267051132105
18.54	0.83	23983	53.93743257820928	2.4146747054969637
18.28	1.3	24019	54.70459518599562	3.8903705548027516
